,regimen,regimen_abbrev,regimen_name,regimen_name_formatted,van_deun_core_drug,van_deun_companion_drugs,van_deun,resistance_prevention,mechanism_of_action,route_of_administration,route_of_administration_hospitalized,cost,toxicity,qt_prolongation,high_bactericidal_activity_early,high_bactericidal_activity,high_sterilizing_activity,efficacy,bactericidal_activity_early,bactericidal_activity,sterilizing_activity,synergism,antagonism,contraindications,same_drug_class,first_line,clinical_evidence
0,"(0, 1, 2, 3)","LFX, LZD, IMI, MERO","['Levofloxacin', 'Linezolid', 'Imipenem', 'Meropenem']","['levofloxacin', 'linezolid', 'imipenem', 'meropenem']",True,True,True,12,False,False,True,824.3199999999999,7.5,False,True,True,True,True,10,11,15,0,0,0,1,0,7
1,"(0, 1, 2, 4)","LFX, LZD, IMI, MFX","['Levofloxacin', 'Linezolid', 'Imipenem', 'Moxifloxacin']","['levofloxacin', 'linezolid', 'imipenem', 'moxifloxacin']",True,True,True,12,False,False,True,494.62,7.0,False,True,True,True,True,14,13,14,0,0,0,1,0,9
2,"(0, 1, 2, 5)","LFX, LZD, IMI, MFX HD","['Levofloxacin', 'Linezolid', 'Imipenem', 'Moxifloxacin High Dose']","['levofloxacin', 'linezolid', 'imipenem', 'moxifloxacin_high_dose']",True,True,True,12,False,False,True,503.46,7.5,True,True,True,True,True,13,12,14,0,0,0,1,0,9
3,"(0, 1, 2, 6)","LFX, LZD, IMI, BDQ","['Levofloxacin', 'Linezolid', 'Imipenem', 'Bedaquiline']","['levofloxacin', 'linezolid', 'imipenem', 'bedaquiline']",True,True,True,11,True,False,True,550.77,6.75,False,True,True,True,True,11,11,16,0,0,0,0,0,9
4,"(0, 1, 2, 7)","LFX, LZD, IMI, AMI","['Levofloxacin', 'Linezolid', 'Imipenem', 'Amikacin']","['levofloxacin', 'linezolid', 'imipenem', 'amikacin']",True,True,True,12,False,False,True,528.78,8.75,False,True,True,True,True,11,11,13,0,0,0,0,0,9
5,"(0, 1, 2, 8)","LFX, LZD, IMI, CFZ","['Levofloxacin', 'Linezolid', 'Imipenem', 'Clofazimine']","['levofloxacin', 'linezolid', 'imipenem', 'clofazimine']",True,True,True,12,False,False,True,515.73,8.0,True,True,True,True,True,10,12,13,0,0,0,0,0,8
6,"(0, 1, 2, 9)","LFX, LZD, IMI, CS","['Levofloxacin', 'Linezolid', 'Imipenem', 'Cycloserine']","['levofloxacin', 'linezolid', 'imipenem', 'cycloserine']",True,True,True,11,False,False,True,518.47,8.5,False,True,True,True,True,11,12,13,0,0,0,0,0,8
7,"(0, 1, 2, 10)","LFX, LZD, IMI, TERI","['Levofloxacin', 'Linezolid', 'Imipenem', 'Terizidone']","['levofloxacin', 'linezolid', 'imipenem', 'terizidone']",True,True,True,11,False,False,True,705.37,8.75,False,True,True,True,True,11,12,13,0,0,0,0,0,8
8,"(0, 1, 2, 11)","LFX, LZD, IMI, STREP","['Levofloxacin', 'Linezolid', 'Imipenem', 'Streptomycin']","['levofloxacin', 'linezolid', 'imipenem', 'streptomycin']",True,True,True,12,False,False,True,505.28999999999996,8.75,False,True,True,True,True,11,11,13,0,0,0,0,0,8
9,"(0, 1, 2, 12)","LFX, LZD, IMI, EMB","['Levofloxacin', 'Linezolid', 'Imipenem', 'Ethambutol']","['levofloxacin', 'linezolid', 'imipenem', 'ethambutol']",True,True,True,11,True,False,True,487.96,6.75,False,True,True,True,True,11,12,12,0,0,0,0,1,10
10,"(0, 1, 2, 13)","LFX, LZD, IMI, PAS","['Levofloxacin', 'Linezolid', 'Imipenem', 'Para-aminosalicylic acid']","['levofloxacin', 'linezolid', 'imipenem', 'para_aminosalicylic_acid']",True,True,True,11,True,False,True,607.77,8.75,False,True,True,True,True,12,11,14,0,0,0,0,0,8
11,"(0, 1, 2, 14)","LFX, LZD, IMI, ETH","['Levofloxacin', 'Linezolid', 'Imipenem', 'Ethionamide']","['levofloxacin', 'linezolid', 'imipenem', 'ethionamide']",True,True,True,11,True,False,True,497.57,8.75,False,True,True,True,True,12,12,13,0,0,0,0,0,9
12,"(0, 1, 2, 15)","LFX, LZD, IMI, PTH","['Levofloxacin', 'Linezolid', 'Imipenem', 'Prothionamide']","['levofloxacin', 'linezolid', 'imipenem', 'prothionamide']",True,True,True,11,True,False,True,504.71999999999997,8.75,False,True,True,True,True,12,12,13,0,0,0,0,0,9
